"AMD 라이젠 7 1800X (서밋 릿지)(정품),AMD,AMD(라이젠 7),AMD(소켓AM4),64 비트,옥타(8) 코어,쓰레드 16개,3.6 GHz,14nm,95 W,,,664670,http://timg.danawa.com/prod_img/500000/101/929/img/4929101_1.jpg"
"인텔 코어i3-7세대 7300 (카비레이크)(정품),인텔,인텔(코어i3-7세대),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,4.0 GHz,14nm,51 W,,인텔 HD 630,190210,http://timg.danawa.com/prod_img/500000/060/828/img/4828060_1.jpg"
"AMD A4 7300 (리치랜드)(정품),AMD,AMD(리치랜드-A4),AMD(소켓FM2),64(32) 비트,듀얼 코어,쓰레드 2개,3.8 GHz,32nm,65 W,윈도우 7 가상화,AMD HD 8470D,46320,http://timg.danawa.com/prod_img/500000/388/852/img/2852388_1.jpg"
"인텔 제온 E5-2620 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,옥타(8) 코어,쓰레드 16개,2.1 GHz,14nm,85 W,,,615550,http://timg.danawa.com/prod_img/500000/066/370/img/4370066_1.jpg"
"AMD FX 8370 (비쉐라)(정품),AMD,AMD(FX),AMD(소켓AM3+),64(32) 비트,옥타(8) 코어,쓰레드 8개,4.0 GHz,32nm,125 W,윈도우 7 가상화,,263250,http://timg.danawa.com/prod_img/500000/615/813/img/2813615_1.jpg"
"AMD A8 7670K (고다바리)(정품),AMD,AMD(고다바리-A8),AMD(소켓FM2+),64 비트,쿼드 코어,쓰레드 4개,3.6 GHz,28nm,95 W,윈도우 7 가상화,AMD R7 시리즈,133680,http://timg.danawa.com/prod_img/500000/430/412/img/3412430_1.jpg"
"AMD 애슬론-X4 860K (카베리)(정품),AMD,AMD(애슬론-X4),AMD(소켓FM2+),64(32) 비트,쿼드 코어,쓰레드 4개,3.7 GHz,28nm,95 W,윈도우 7 가상화,,95580,http://timg.danawa.com/prod_img/500000/138/976/img/2976138_1.jpg"
"인텔 코어i5-4세대 4460 (하스웰 리프레시)(정품),인텔,인텔(코어i5-4세대),인텔(소켓1150),64(32) 비트,쿼드 코어,쓰레드 4개,3.2 GHz,22nm,84 W,윈도우 7 가상화,인텔 HD 4600,255850,http://timg.danawa.com/prod_img/500000/093/599/img/2599093_1.jpg"
"인텔 코어i5-6세대 6600K (스카이레이크)(정품),인텔,인텔(코어i5-6세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 4개,3.5 GHz,14nm,91 W,윈도우 7 가상화,인텔 HD 530,296850,http://timg.danawa.com/prod_img/500000/495/353/img/3353495_1.jpg"
"AMD A6 7400K (카베리)(정품),AMD,AMD(카베리-A6),AMD(소켓FM2+),64(32) 비트,듀얼 코어,쓰레드 2개,3.5 GHz,28nm,65 W,,AMD R5 시리즈,88540,http://timg.danawa.com/prod_img/500000/722/714/img/2714722_1.jpg"
